                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.83333,                0.96382,                 1.2283,                0.26664,                0.34532,                0.24078,                0.12385,                 1.9534,                 2.9891,                 2.1002,             0.00018709,             0.00018709,             0.00018709
                     86,                0.81799,                0.93887,                 1.2103,                0.41132,                0.34029,                0.33648,                0.19998,                 1.9897,                 3.1355,                 2.1456,             0.00017609,             0.00017609,             0.00017609
                     87,                0.81685,                0.93712,                 1.2193,                0.43087,                0.32442,                0.32495,                0.17036,                 2.0126,                 3.1633,                 2.1494,             0.00016509,             0.00016509,             0.00016509
                     88,                0.80224,                0.92168,                  1.202,                0.37489,                0.33513,                0.33088,                0.21255,                 2.0284,                 3.2791,                 2.1698,              0.0001541,              0.0001541,              0.0001541
                     89,                0.80381,                0.92655,                 1.2108,                0.39669,                0.30886,                0.31557,                0.16244,                 1.9743,                 3.1757,                 2.0938,              0.0001431,              0.0001431,              0.0001431
                     90,                0.81273,                0.93688,                 1.2171,                 0.3387,                0.33922,                0.32903,                0.23892,                  1.982,                 3.1262,                 2.1162,              0.0001321,              0.0001321,              0.0001321
                     91,                0.78487,                0.75625,                 1.2254,                0.42445,                0.33104,                 0.3085,                0.23037,                 2.0122,                 3.0983,                 2.1376,              0.0001211,              0.0001211,              0.0001211
                     92,                0.77273,                0.70476,                 1.2128,                0.38001,                0.35442,                0.31074,                0.23027,                 2.0019,                 3.1736,                 2.1464,              0.0001101,              0.0001101,              0.0001101
                     93,                0.76037,                0.69843,                 1.2102,                0.43982,                0.36156,                0.32651,                0.21569,                 1.9543,                  3.096,                   2.11,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.74978,                0.67928,                  1.195,                0.40955,                0.35922,                0.33899,                0.23381,                  1.991,                 3.1563,                 2.1035,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.74065,                0.66112,                 1.1907,                0.31654,                0.35592,                0.30361,                0.19083,                 1.9929,                 3.1391,                 2.1148,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.73119,                0.65193,                 1.1805,                0.44151,                0.32822,                0.33645,                0.21389,                 2.0152,                 3.1908,                 2.1363,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.72189,                0.64055,                   1.17,                0.42668,                0.34843,                0.33934,                0.21492,                 2.0056,                 3.1738,                 2.1467,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.72322,                0.63576,                 1.1818,                0.35129,                 0.3546,                0.31566,                0.21721,                 2.0126,                 3.1754,                 2.1688,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.70994,                0.63516,                 1.1726,                0.35033,                 0.3779,                0.30992,                0.21368,                 2.0145,                 3.1844,                 2.1797,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.72872,                0.62454,                 1.1831,                0.34781,                0.37974,                0.31909,                0.21657,                 2.0191,                 3.1835,                 2.1864,             2.2109e-05,             2.2109e-05,             2.2109e-05
